Team,Values,When,Season
Manchester United,€471.00m,winter,2017
Tottenham Hotspur,€429.00m,winter,2017
Leicester City,€205.30m,winter,2017
Arsenal FC,€492.00m,winter,2017
Everton FC,€248.10m,winter,2017
Aston Villa,€83.50m,winter,2017
West Ham United,€209.40m,winter,2017
Wolverhampton Wanderers,€52.58m,winter,2017
Newcastle United,€126.25m,winter,2017
Leeds United,€41.30m,winter,2017
Southampton FC,€230.00m,winter,2017
Crystal Palace,€186.75m,winter,2017
Brighton & Hove Albion,€48.60m,winter,2017
Brentford FC,€24.15m,winter,2017
Norwich City,€70.15m,winter,2017
Burnley FC,€85.00m,winter,2017
Watford FC,€127.25m,winter,2017
Manchester City,€629.50m,summer,2018
Liverpool FC,€514.50m,summer,2018
Chelsea FC,€631.90m,summer,2018
Manchester United,€592.75m,summer,2018
Tottenham Hotspur,€551.00m,summer,2018
Leicester City,€243.50m,summer,2018
Arsenal FC,€508.00m,summer,2018
Everton FC,€335.00m,summer,2018
Aston Villa,€77.75m,summer,2018
West Ham United,€215.90m,summer,2018
Wolverhampton Wanderers,€73.20m,summer,2018
Newcastle United,€137.00m,summer,2018
Leeds United,€43.80m,summer,2018
Southampton FC,€255.60m,summer,2018
Crystal Palace,€190.60m,summer,2018
Brighton & Hove Albion,€99.00m,summer,2018
Brentford FC,€30.60m,summer,2018
Norwich City,€52.55m,summer,2018
Burnley FC,€91.50m,summer,2018
Watford FC,€151.50m,summer,2018
Manchester City,€792.50m,winter,2018
Liverpool FC,€548.00m,winter,2018
Chelsea FC,€695.75m,winter,2018
Manchester United,€741.50m,winter,2018
Tottenham Hotspur,€706.00m,winter,2018
Leicester City,€212.00m,winter,2018
Arsenal FC,€492.45m,winter,2018
Everton FC,€343.25m,winter,2018
Aston Villa,€88.00m,winter,2018
West Ham United,€213.00m,winter,2018
Wolverhampton Wanderers,€97.00m,winter,2018
Newcastle United,€157.15m,winter,2018
Leeds United,€52.75m,winter,2018
Southampton FC,€233.60m,winter,2018
Crystal Palace,€191.45m,winter,2018
Brighton & Hove Albion,€116.00m,winter,2018
Brentford FC,€36.60m,winter,2018
Norwich City,€47.00m,winter,2018
Burnley FC,€126.35m,winter,2018
Watford FC,€186.50m,winter,2018
Manchester City,€1.09bn,summer,2019
Liverpool FC,€913.00m,summer,2019
Chelsea FC,€891.75m,summer,2019
Manchester United,€835.00m,summer,2019
